"Time (s)","Sound pressure level (dB)"
5.347918408E1,-7.217026504E1
5.358216050E1,-7.214994185E1
5.368884542E1,-7.032905967E1
5.379562821E1,-6.952020379E1
5.389817817E1,-7.082135824E1
5.400490146E1,-7.132675418E1
5.411161571E1,-7.154379521E1
5.421621254E1,-7.204301130E1
5.431869567E1,-7.115257485E1
5.442548596E1,-6.962575251E1
5.453238350E1,-7.008072669E1
5.463671746E1,-7.157079206E1
5.474354725E1,-7.132166957E1
5.485000079E1,-7.058482208E1
5.495470079E1,-6.935284051E1
5.506138121E1,-6.988023563E1
5.516809146E1,не число
5.527279092E1,-6.982900689E1
5.537951237E1,-6.971380819E1
5.548643637E1,-6.870328964E1
5.559091350E1,-6.634373077E1
5.569757650E1,-6.757828597E1
5.580431767E1,-6.740249252E1
5.590693900E1,-7.041281105E1
5.601369962E1,-6.829723344E1
5.612040146E1,-7.045539455E1
5.622504700E1,-6.787826482E1
5.632748550E1,-6.811887238E1
5.643427692E1,-6.950420028E1
5.654118892E1,-6.791772121E1
5.664354221E1,-6.682977020E1
5.675032008E1,-6.919836935E1
5.685663054E1,-6.852573183E1
5.696152842E1,-6.816830672E1
5.706417046E1,-6.861998299E1
5.716854542E1,-6.736267205E1
5.727357933E1,не число
5.737960596E1,-6.852653840E1
5.748263354E1,-6.717635528E1
5.758940729E1,-6.844380660E1
5.769608737E1,-6.553464833E1
5.780065658E1,-6.730229443E1
5.790664025E1,-7.065109852E1
5.801330492E1,-6.955428502E1
5.811872333E1,-6.829370930E1
5.822557071E1,-6.955897500E1
5.833233242E1,-6.997425072E1
5.843672933E1,-7.034253632E1
5.854368875E1,-6.970534782E1
5.865042175E1,-6.981261357E1
5.875482125E1,-7.045797633E1
5.886155954E1,-7.039032630E1
5.896501633E1,-7.045840099E1
5.907094162E1,не число
5.917332037E1,-7.019961786E1
5.928004021E1,-6.949164730E1
5.938225625E1,-7.041652891E1
5.948907454E1,-6.913768556E1
5.959176912E1,-7.056640265E1
5.969686771E1,-6.859844045E1
5.980356287E1,-6.754403257E1
5.990784029E1,-7.160362235E1
6.001429867E1,-7.027733260E1
6.012106625E1,-7.088569340E1
6.022581946E1,-7.033809740E1
6.032832408E1,-7.026982392E1
6.043502471E1,-6.936070287E1
6.054189617E1,-7.026528729E1
6.064452100E1,-7.057309936E1
6.074674233E1,-6.964610855E1
6.085264375E1,-7.033655811E1
6.095949912E1,-7.034325317E1
6.106283454E1,-6.894921608E1
6.116951729E1,не число
6.127357750E1,-6.981434635E1
6.138017929E1,-6.981892816E1
6.148336704E1,-6.958065595E1
6.159017008E1,-6.982581102E1
6.169685650E1,-7.025675692E1
6.179946737E1,-7.144035524E1
6.190627525E1,-6.878985782E1
6.201299908E1,-7.074522086E1
6.211945025E1,-7.048769826E1
6.222328617E1,-7.065919221E1
6.232998054E1,-7.029782099E1
6.243553163E1,-7.151588879E1
6.253814558E1,-7.019655259E1
6.264488117E1,-7.154300890E1
6.275166592E1,-7.061997193E1
6.285603792E1,-7.129130575E1
6.296282629E1,-7.020833780E1
6.306958025E1,-7.025433438E1
6.317356696E1,-6.994951275E1
6.328033075E1,-6.986487878E1
6.338706262E1,-7.033525977E1
6.349218304E1,-7.007459609E1
6.359894992E1,-7.000631381E1
6.370581137E1,-6.993311971E1
6.381019842E1,-7.086022613E1
6.391699408E1,-7.004245488E1
6.402370854E1,-6.992394392E1
6.412836217E1,-7.036705007E1
6.423111554E1,-7.127336683E1
6.433361112E1,-7.041863111E1
6.444041279E1,-7.141083090E1
6.454673917E1,-6.995983523E1
6.465356504E1,-6.931860539E1
6.476035233E1,-7.077783122E1
6.486477450E1,-7.028832733E1
6.496905013E1,не число
6.507358450E1,-6.954465854E1
6.518035529E1,-6.985956666E1
6.528334225E1,-7.027037008E1
6.539013679E1,-7.159776775E1
6.549695758E1,-7.144853062E1
6.560137150E1,-6.994093974E1
6.570418388E1,-6.946830501E1
6.581097304E1,-7.087008766E1
6.591746337E1,-7.126705212E1
6.601994988E1,-7.082517644E1
6.612670442E1,-7.102139496E1
6.623342654E1,-7.035740012E1
6.633597129E1,-7.061553987E1
6.643847500E1,-7.081760940E1
6.654536454E1,-6.954271784E1
6.665225579E1,-7.110446544E1
6.675452567E1,-7.071246973E1
6.685692829E1,-7.018544001E1
6.695996233E1,-7.148439732E1
6.706674937E1,-7.067445185E1
6.717295762E1,-6.926946937E1
6.727544375E1,-6.903400417E1
6.738209358E1,-6.926108365E1
6.748831521E1,-7.020292891E1
6.759341733E1,-6.998687909E1
6.770024996E1,-7.046219011E1
6.780701117E1,-6.988046513E1
6.791147471E1,-6.993807778E1
6.801822983E1,-6.917596305E1
6.812492333E1,-7.062126963E1
6.822944454E1,-7.108348582E1
6.833364371E1,-6.897264577E1
6.844044175E1,-7.047787623E1
6.854544042E1,-7.060770387E1
6.864794317E1,-6.906664515E1
6.875481846E1,-6.975640936E1
6.886174775E1,-7.065635930E1
6.896402117E1,-7.056362225E1
6.906631179E1,-7.081532181E1
6.917164508E1,не число
6.927360896E1,-6.973854672E1
6.937542300E1,-7.110442654E1
6.948131762E1,-7.058989978E1
6.958525417E1,-7.064691161E1
6.969196937E1,-7.078232555E1
6.979876183E1,-7.067849247E1
6.990137104E1,-6.862717733E1
7.000373567E1,-7.096958500E1
7.011048196E1,-6.983794131E1
7.021723883E1,-7.077049411E1
7.032174350E1,-7.043415184E1
7.042855554E1,-7.009688479E1
7.053536392E1,-7.198679534E1
7.063969179E1,-7.035460860E1
7.074645675E1,-7.018459345E1
7.085337175E1,-7.045847932E1
7.095773004E1,-7.135594249E1
7.106453892E1,-7.098600005E1
7.117132754E1,-6.947708866E1
7.127380004E1,не число
7.137539087E1,-7.127569359E1
7.147674175E1,-7.046441014E1
7.158355704E1,-7.043159773E1
7.169032225E1,-7.094320668E1
7.179476500E1,-7.163211647E1
7.190153046E1,-7.046349598E1
7.200823154E1,-6.949288650E1
7.211264167E1,-7.046592952E1
7.221937679E1,-7.020917334E1
7.232613483E1,-7.028548962E1
7.242875300E1,-6.963369297E1
7.253129575E1,-7.115117451E1
7.263822400E1,-6.998339122E1
7.274505650E1,-6.951559123E1
7.284739562E1,-7.077250732E1
7.295422567E1,-7.048355068E1
7.306097096E1,-7.078020009E1
7.316727008E1,-7.055380615E1
7.327358508E1,-7.119911986E1
7.338032862E1,-7.002904026E1
7.348521583E1,-7.011420099E1
7.359192479E1,-6.940399326E1
7.369616342E1,-7.001948835E1
7.380131925E1,-6.841989753E1
7.390370800E1,-6.747468881E1
7.400662112E1,-7.031189105E1
7.411350475E1,-6.960983670E1
7.421973475E1,-6.788752978E1
7.432221833E1,-6.880484600E1
7.442666525E1,-6.801896469E1
7.453347633E1,-6.824331552E1
7.463822946E1,-7.090286638E1
7.474075104E1,-7.094521527E1
7.484658112E1,-7.011137237E1
7.495328279E1,-6.997766813E1
7.505870425E1,-7.083550640E1
7.516553092E1,не число
7.527148579E1,-7.009920586E1
7.537467208E1,-7.058849478E1
7.547721921E1,не число
7.558118033E1,-6.958555863E1
7.568390037E1,-7.120181565E1
7.579061796E1,-7.064791846E1
7.589576008E1,-6.946546015E1
7.600255700E1,-7.045073899E1
7.610938962E1,-7.028393430E1
7.621377800E1,-7.043490032E1
7.632057063E1,-7.090296617E1
7.642463267E1,-6.964725619E1
7.652987225E1,-7.001528781E1
7.663215287E1,-7.079821022E1
7.673886104E1,-7.092984880E1
7.684403900E1,-6.953168863E1
7.695039200E1,-6.905583406E1
7.705724062E1,-6.972311862E1
7.716084187E1,-6.965743550E1
7.726618383E1,не число
7.736862667E1,-6.938910604E1
7.747355804E1,-6.958217055E1
7.758028492E1,-6.916485250E1
7.768678000E1,-6.994527687E1
7.779355392E1,-6.932284250E1
7.790027562E1,-7.065993848E1
7.800301650E1,-7.100670456E1
7.810521871E1,-6.990300875E1
7.821138075E1,-7.102238329E1
7.831815292E1,-6.866355430E1
7.842326496E1,-7.018184752E1
7.852686129E1,-7.069022928E1
7.863364808E1,-7.065190169E1
7.873929554E1,-7.027503999E1
7.884164321E1,-7.100837313E1
7.894849612E1,-7.166563647E1
7.905528208E1,-7.068442089E1
7.915979050E1,-7.029928765E1
7.926649954E1,-7.126486722E1
7.937313829E1,не число
7.947584596E1,-7.026630410E1
7.957830250E1,-7.075092109E1
7.968487767E1,-7.159268280E1
7.979158050E1,-6.996942111E1
7.989624633E1,-7.072407870E1
8.000300850E1,-7.075680815E1
8.010975829E1,-7.013477925E1
8.021240983E1,-6.926230900E1
8.031923404E1,-6.886543534E1
8.042612733E1,-6.945207384E1
8.053023354E1,-6.851919685E1
8.063285692E1,-6.809777038E1
8.073965858E1,-6.896842895E1
8.084406408E1,-6.894346331E1
8.094886117E1,-6.888940317E1
8.105554254E1,-6.962131302E1
8.116233842E1,-7.013513308E1
8.126682196E1,-6.996564091E1
8.137350021E1,-7.017930593E1
8.147972546E1,-7.168778542E1
8.158466858E1,-7.190655509E1
